2026-06-02 15:54:01.168 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@65011123]]
2026-06-02 15:54:01.168 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-06-02 15:54:06.749 [main] INFO  c.s.q.QiSiSystemApplication - Starting QiSiSystemApplication using Java 17.0.12 with PID 184164 (C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem)
2026-06-02 15:54:06.751 [main] INFO  c.s.q.QiSiSystemApplication - The following 1 profile is active: "test"
2026-06-02 15:54:08.073 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-02 15:54:08.077 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-02 15:54:08.176 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 81 ms. Found 0 Redis repository interfaces.
2026-06-02 15:54:08.832 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-02 15:54:08.924 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2131 ms
2026-06-02 15:54:10.108 [main] INFO  c.s.q.QiSiSystemApplication - ✅ 管理员账号已初始化
2026-06-02 15:54:10.122 [main] INFO  c.s.q.config.minio.MinioConfig - 开始初始化MinIO客户端
2026-06-02 15:54:10.280 [main] INFO  c.s.q.config.minio.MinioConfig - MinIO客户端初始化完成
2026-06-02 15:54:11.068 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
